Time,Solar,Wind
1,0,0
2,0,8.8
3,0,23.3
4,0,8.8
5,0,14.9
6,0,23.3
7,0,8.8
8,0,4.6
9,55,23.3
10,180,34.5
11,245,48.7
12,351,70.3
13,411,150.4
14,181,92.6
15,235,119.2
16,160,70.3
17,69,119.2
18,0,92.6
19,0,92.6
20,0,48.7
21,0,23.3
22,0,8.8
23,0,275.7
24,0,340.7
25,0,4.6
26,0,8.8
27,0,8.8
28,0,23.3
29,0,23.3
30,0,34.5
31,66,48.7
32,232,48.7
33,432,119.2
34,638,92.6
35,791,48.7
36,880,14.9
37,909,70.3
38,874,70.3
39,775,34.5
40,624,8.8
41,407,8.8
42,236,34.5
43,57,23.3
44,0,14.9
45,0,14.9
46,0,8.8
47,0,4.6
48,0,48.7
49,0,0
50,0,1.7
51,0,1.7
52,0,0
53,0,0
54,20,0
55,150,1.7
56,327,4.6
57,531,23.3
58,583,150.4
59,844,92.6
60,931,70.3
61,962,92.6
62,936,48.7
63,855,92.6
64,725,92.6
65,555,92.6
66,361,92.6
67,170,34.5
68,29,8.8
69,0,14.9
70,0,14.9
71,0,23.3
72,0,8.8
73,0,4.6
74,0,0
75,0,4.6
76,0,1.7
77,0,4.6
78,0,4.6
79,0,8.8
80,131,0
81,299,4.6
82,450,14.9
83,568,70.3
84,643,8.8
85,669,48.7
86,600,23.3
87,501,34.5
88,362,70.3
89,171,23.3
90,16,8.8
91,0,14.9
92,0,8.8
93,0,1.7
94,0,8.8
95,0,0
96,0,0
