Time,Solar,Wind
1,0,34.5
2,0,23.3
3,0,23.3
4,0,23.3
5,0,34.5
6,0,34.5
7,0,8.8
8,2,8.8
9,43,1.7
10,120,0.5
11,139,0
12,184,0.5
13,168,1.7
14,105,34.5
15,59,34.5
16,34,48.7
17,8,34.5
18,1,4.6
19,0,0
20,0,4.6
21,0,23.3
22,0,34.5
23,0,8.8
24,0,23.3
25,0,23.3
26,0,23.3
27,0,34.5
28,0,34.5
29,0,8.8
30,0,34.5
31,58,23.3
32,244,119.2
33,449,14.9
34,623,23.3
35,786,14.9
36,759,119.2
37,876,186.6
38,834,119.2
39,716,119.2
40,226,186.6
41,160,119.2
42,86,48.7
43,30,23.3
44,0,8.8
45,0,4.6
46,0,14.9
47,0,34.5
48,0,92.6
49,0,23.3
50,0,70.3
51,0,48.7
52,0,34.5
53,0,48.7
54,20,70.3
55,138,70.3
56,339,119.2
57,537,402.2
58,714,402.2
59,852,275.7
60,902,228.3
61,837,228.3
62,883,340.7
63,703,119.2
64,399,92.6
65,537,23.3
66,334,23.3
67,123,14.9
68,25,14.9
69,0,4.6
70,0,34.5
71,0,48.7
72,0,92.6
73,0,34.5
74,0,14.9
75,0,14.9
76,0,48.7
77,0,23.3
78,0,14.9
79,13,23.3
80,109,23.3
81,293,23.3
82,470,23.3
83,599,8.8
84,679,1.7
85,695,48.7
86,645,70.3
87,536,23.3
88,379,23.3
89,192,23.3
90,43,23.3
91,0,1.7
92,0,1.7
93,0,4.6
94,0,23.3
95,0,14.9
96,0,8.8
