Time,Solar,Wind
1,0,14.9
2,0,48.7
3,0,4.6
4,0,1.7
5,0,23.3
6,0,23.3
7,0,8.8
8,1,8.8
9,33,8.8
10,120,34.5
11,143,14.9
12,210,23.3
13,248,4.6
14,183,14.9
15,100,23.3
16,47,14.9
17,15,4.6
18,0,4.6
19,0,4.6
20,0,8.8
21,0,14.9
22,0,8.8
23,0,4.6
24,0,8.8
25,0,119.2
26,0,228.3
27,0,70.3
28,0,150.4
29,0,119.2
30,9,186.6
31,85,92.6
32,173,119.2
33,198,70.3
34,304,150.4
35,255,119.2
36,340,70.3
37,554,70.3
38,316,150.4
39,336,119.2
40,236,92.6
41,145,48.7
42,90,70.3
43,18,48.7
44,0,48.7
45,0,70.3
46,0,70.3
47,0,48.7
48,0,92.6
49,0,34.5
50,0,23.3
51,0,34.5
52,0,34.5
53,6,70.3
54,52,70.3
55,64,34.5
56,146,34.5
57,229,1.7
58,314,0
59,455,14.9
60,656,14.9
61,830,14.9
62,861,23.3
63,762,23.3
64,662,34.5
65,504,4.6
66,325,14.9
67,158,14.9
68,29,8.8
69,0,1.7
70,0,4.6
71,0,8.8
72,0,4.6
73,0,14.9
74,0,14.9
75,0,8.8
76,0,8.8
77,0,1.7
78,0,1.7
79,3,8.8
80,22,8.8
81,50,8.8
82,78,1.7
83,140,14.9
84,129,8.8
85,153,4.6
86,136,14.9
87,247,34.5
88,194,34.5
89,38,14.9
90,1,14.9
91,0,34.5
92,0,23.3
93,0,23.3
94,0,23.3
95,0,8.8
96,0,4.6
