Time,Solar,Wind
1,0,8.8
2,0,14.9
3,0,48.7
4,0,23.3
5,0,8.8
6,0,8.8
7,0,4.6
8,14,8.8
9,61,8.8
10,164,8.8
11,249,8.8
12,315,0
13,231,8.8
14,352,4.6
15,257,4.6
16,125,0
17,31,4.6
18,0,8.8
19,0,8.8
20,0,23.3
21,0,0
22,0,0
23,0,4.6
24,0,14.9
25,0,1.4
26,0,1.1
27,0,0.4
28,0,0
29,0,0
30,0,0
31,67,0
32,194,0
33,377,0
34,697,0
35,821,8.8
36,871,48.7
37,872,8.8
38,844,14.9
39,739,14.9
40,530,23.3
41,399,14.9
42,205,23.3
43,9,8.8
44,0,14.9
45,0,4.6
46,0,4.6
47,0,4.6
48,0,8.8
49,0,14.9
50,0,12.2
51,0,11
52,0,8.8
53,1,14.9
54,46,23.3
55,208,34.5
56,394,23.3
57,415,14.9
58,798,8.8
59,848,21.4
60,872,39.8
61,930,70.3
62,923,83.2
63,788,102.7
64,678,119.2
65,464,119.2
66,263,119.2
67,95,119.2
68,9,92.6
69,0,66.3
70,0,48.7
71,0,55.3
72,0,62.5
73,0,4.6
74,0,1.7
75,0,1.7
76,0,4.6
77,0,1.7
78,0,0
79,20,0
80,158,0
81,342,0
82,504,8.8
83,619,0
84,674,8.8
85,665,70.3
86,592,34.5
87,462,23.3
88,290,14.9
89,109,23.3
90,5,0
91,0,0
92,0,0
93,0,8.8
94,0,8.8
95,0,8.8
96,0,8.8
