Time,Solar,Wind
1,0,48.7
2,0,150.4
3,0,150.4
4,0,92.6
5,0,92.6
6,0,150.4
7,0,70.3
8,31,70.3
9,144,119.2
10,298,150.4
11,419,186.6
12,489,275.7
13,499,119.2
14,447,119.2
15,338,186.6
16,182,119.2
17,45,70.3
18,0,8.8
19,0,4.6
20,0,8.8
21,0,14.9
22,0,8.8
23,0,14.9
24,0,48.7
25,0,70.3
26,0,70.3
27,0,70.3
28,0,70.3
29,0,92.6
30,8,70.3
31,104,92.6
32,288,150.4
33,496,150.4
34,672,228.3
35,766,275.7
36,831,340.7
37,851,150.4
38,769,402.2
39,663,546.4
40,503,546.4
41,291,721.4
42,114,228.3
43,10,92.6
44,0,92.6
45,0,92.6
46,0,92.6
47,0,48.7
48,0,48.7
49,0,34.5
50,0,14.9
51,0,23.3
52,0,23.3
53,2,23.3
54,56,34.5
55,189,48.7
56,330,23.3
57,570,14.9
58,753,23.3
59,827,34.5
60,897,23.3
61,709,48.7
62,832,8.8
63,759,34.5
64,593,8.8
65,412,14.9
66,240,23.3
67,82,34.5
68,10,8.8
69,0,23.3
70,0,4.6
71,0,1.7
72,0,0
73,0,0
74,0,0.5
75,0,0
76,0,1.7
77,0,1.7
78,0,1.7
79,11,8.8
80,127,8.8
81,231,8.8
82,319,8.8
83,401,23.3
84,297,23.3
85,290,14.9
86,279,14.9
87,239,23.3
88,121,23.3
89,45,14.9
90,4,4.6
91,0,4.6
92,0,4.6
93,0,0
94,0,4.6
95,0,4.6
96,0,4.6
