Time,Solar,Wind
1,0,4.6
2,0,4.6
3,0,8.8
4,0,0
5,0,4.6
6,0,4.6
7,0,14.9
8,24,23.3
9,88,48.7
10,244,92.6
11,376,186.6
12,426,70.3
13,432,275.7
14,368,186.6
15,193,119.2
16,110,70.3
17,22,14.9
18,0,1.7
19,0,1.7
20,0,8.8
21,0,1.7
22,0,1.7
23,0,4.6
24,0,4.6
25,0,70.3
26,0,23.3
27,0,14.9
28,0,4.6
29,0,14.9
30,0,48.7
31,185,70.3
32,321,119.2
33,530,150.4
34,695,150.4
35,827,92.6
36,890,186.6
37,862,186.6
38,776,228.3
39,661,402.2
40,484,275.7
41,299,186.6
42,119,150.4
43,0,119.2
44,0,92.6
45,0,186.6
46,0,228.3
47,0,186.6
48,0,228.3
49,0,4.6
50,0,34.5
51,0,14.9
52,0,14.9
53,10,1.7
54,85,8.8
55,246,23.3
56,269,23.3
57,427,34.5
58,641,48.7
59,755,1.7
60,891,48.7
61,800,34.5
62,709,150.4
63,646,186.6
64,540,186.6
65,226,340.7
66,74,186.6
67,37,150.4
68,1,34.5
69,0,14.9
70,0,8.8
71,0,34.5
72,0,8.8
73,0,4.6
74,0,8.8
75,0,8.8
76,0,8.8
77,0,70.3
78,0,23.3
79,17,92.6
80,82,48.7
81,96,70.3
82,134,70.3
83,152,186.6
84,278,119.2
85,151,119.2
86,226,48.7
87,202,14.9
88,124,1.7
89,39,14.9
90,1,14.9
91,0,34.5
92,0,70.3
93,0,340.7
94,0,119.2
95,0,150.4
96,0,228.3
