Time,Solar,Wind
1,0,186.6
2,0,150.4
3,0,70.3
4,0,228.3
5,0,70.3
6,0,186.6
7,0,150.4
8,0,228.3
9,29,150.4
10,80,119.2
11,129,150.4
12,248,340.7
13,398,340.7
14,411,340.7
15,323,340.7
16,218,340.7
17,75,186.6
18,7,48.7
19,0,92.6
20,0,92.6
21,0,92.6
22,0,70.3
23,0,70.3
24,0,92.6
25,0,228.3
26,0,14.9
27,0,8.8
28,0,14.9
29,0,8.8
30,1,8.8
31,39,8.8
32,172,1.7
33,343,8.8
34,525,4.6
35,677,23.3
36,750,4.6
37,728,34.5
38,478,70.3
39,519,119.2
40,346,70.3
41,355,70.3
42,158,34.5
43,44,48.7
44,0,23.3
45,0,14.9
46,0,8.8
47,0,4.6
48,0,4.6
49,0,4.6
50,0,14.9
51,0,23.3
52,0,14.9
53,0,4.6
54,27,8.8
55,141,8.8
56,305,14.9
57,479,14.9
58,608,14.9
59,759,23.3
60,812,23.3
61,827,23.3
62,771,34.5
63,620,34.5
64,488,48.7
65,431,48.7
66,260,34.5
67,126,48.7
68,42,34.5
69,1,8.8
70,0,1.7
71,0,1.7
72,0,4.6
73,0,402.2
74,0,470.6
75,0,186.6
76,0,186.6
77,0,275.7
78,0,150.4
79,0,70.3
80,88,119.2
81,246,228.3
82,393,546.4
83,507,275.7
84,572,340.7
85,533,228.3
86,298,275.7
87,124,150.4
88,182,119.2
89,170,340.7
90,23,48.7
91,0,92.6
92,0,48.7
93,0,34.5
94,0,34.5
95,0,23.3
96,0,8.8
