Time,Solar,Wind
1,0,34.5
2,0,23.3
3,0,23.3
4,0,14.9
5,0,4.6
6,0,8.8
7,0,1.7
8,24,23.3
9,142,23.3
10,330,23.3
11,489,8.8
12,594,14.9
13,635,150.4
14,549,48.7
15,494,70.3
16,345,70.3
17,167,34.5
18,39,48.7
19,0,8.8
20,0,14.9
21,0,8.8
22,0,1.7
23,0,34.5
24,0,8.8
25,0,1.7
26,0,0
27,0,4.6
28,0,4.6
29,0,4.6
30,0,1.7
31,56,0
32,260,0
33,490,8.8
34,692,14.9
35,852,23.3
36,955,34.5
37,983,14.9
38,948,14.9
39,847,14.9
40,689,8.8
41,481,14.9
42,250,14.9
43,58,1.7
44,0,1.7
45,0,1.7
46,0,14.9
47,0,34.5
48,0,48.7
49,0,34.5
50,0,23.3
51,0,23.3
52,0,8.8
53,0,23.3
54,5,8.8
55,78,14.9
56,317,23.3
57,528,14.9
58,716,4.6
59,817,1.7
60,886,34.5
61,899,8.8
62,969,186.6
63,842,119.2
64,622,14.9
65,279,119.2
66,212,150.4
67,121,48.7
68,11,14.9
69,0,14.9
70,0,48.7
71,0,23.3
72,0,23.3
73,0,202.6
74,0,210.9
75,0,228.3
76,0,186.6
77,0,150.4
78,0,119.2
79,11,150.4
80,74,186.6
81,161,228.3
82,266,296.4
83,444,376.8
84,469,470.6
85,602,500
86,503,515.2
87,368,546.4
88,416,470.6
89,152,402.2
90,39,340.7
91,0,364.5
92,0,376.8
93,0,402.2
94,0,402.2
95,0,402.2
96,0,402.2
