Time,Solar,Wind
1,0,23.3
2,0,70.3
3,0,14.9
4,0,23.3
5,0,23.3
6,0,23.3
7,0,4.6
8,1,0
9,36,8.8
10,85,48.7
11,125,92.6
12,149,92.6
13,155,70.3
14,142,119.2
15,112,150.4
16,68,186.6
17,17,119.2
18,0,119.2
19,0,186.6
20,0,186.6
21,0,275.7
22,0,275.7
23,0,119.2
24,0,119.2
25,0,70.3
26,0,186.6
27,0,186.6
28,0,275.7
29,0,821.5
30,3,228.3
31,31,821.5
32,93,821.5
33,150,721.4
34,198,953.3
35,232,821.5
36,251,953.3
37,254,1203.1
38,522,1861.9
39,645,2916
40,428,2246.1
41,334,1203.1
42,173,821.5
43,27,470.6
44,0,228.3
45,0,275.7
46,0,470.6
47,0,340.7
48,0,150.4
49,0,1.7
50,0,8.8
51,0,34.5
52,0,23.3
53,0,23.3
54,65,14.9
55,222,119.2
56,395,186.6
57,565,48.7
58,725,70.3
59,828,150.4
60,906,275.7
61,928,119.2
62,873,402.2
63,777,92.6
64,647,186.6
65,390,150.4
66,306,48.7
67,134,14.9
68,8,1.7
69,0,1.7
70,0,0
71,0,0
72,0,0
73,0,23.3
74,0,14.9
75,0,23.3
76,0,23.3
77,0,14.9
78,0,23.3
79,23,14.9
80,106,23.3
81,146,48.7
82,448,23.3
83,443,70.3
84,595,119.2
85,308,186.6
86,494,228.3
87,321,92.6
88,232,119.2
89,71,70.3
90,11,23.3
91,0,23.3
92,0,23.3
93,0,34.5
94,0,70.3
95,0,23.3
96,0,4.6
